name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Chambered Nautilus,Chambered Nautilus,2U,3.0,Creature — Nautilus Beast,Creature — Nautilus Beast,"Whenever this creature becomes blocked, you may draw a card.","Whenever this creature becomes blocked, you may draw a card.",2,2,,U
Trickster Mage,Trickster Mage,U,1.0,Creature — Human Spellshaper,Creature — Human Spellshaper,"{U}, {T}, Discard a card: You may tap or untap target artifact, creature, or land.","{U}, {T}, Discard a card: You may tap or untap target artifact, creature, or land.",1,1,,U
Stronghold Gambit,Stronghold Gambit,1R,2.0,Sorcery,Sorcery,Each player chooses a card in their hand. Then each player reveals their chosen card. The owner of each creature card revealed this way with the lowest mana value puts it onto the battlefield.,Each player chooses a card in their hand. Then each player reveals their chosen card. The owner of each creature card revealed this way with the lowest mana value puts it onto the battlefield.,,,,R
Reaping the Graves,Reaping the Graves,2B,3.0,Instant,Instant,"Return target creature card from your graveyard to your hand.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)","Return target creature card from your graveyard to your hand.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",,,,B
Jade Monolith,Jade Monolith,4,4.0,Artifact,Artifact,"{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.","{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.",,,,N
Strongarm Thug,Strongarm Thug,2B,3.0,Creature — Human Mercenary,Creature — Human Mercenary,"When this creature enters, you may return target Mercenary card from your graveyard to your hand.","When this creature enters, you may return target Mercenary card from your graveyard to your hand.",1,1,,B
Chimeric Staff,Chimeric Staff,4,4.0,Artifact,Artifact,{X}: This artifact becomes an X/X Construct artifact creature until end of turn.,{X}: This artifact becomes an X/X Construct artifact creature until end of turn.,,,,N
Savannah Lions,Savannah Lions,W,1.0,Creature — Cat,Creature — Cat,,,2,1,,W
Voidmage Apprentice,Voidmage Apprentice,1U,2.0,Creature — Human Wizard,Creature — Human Wizard,"Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, counter target spell.","Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, counter target spell.",1,1,,U
Propaganda,Propaganda,2U,3.0,Enchantment,Enchantment,Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.,Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.,,,,U
Verdeloth the Ancient,Verdeloth the Ancient,4GG,6.0,Legendary Creature — Treefolk,Legendary Creature — Treefolk,"Kicker {X} (You may pay an additional {X} as you cast this spell.)
Saproling creatures and other Treefolk creatures get +1/+1.
When Verdeloth enters, if it was kicked, create X 1/1 green Saproling creature tokens.","Kicker {X} (You may pay an additional {X} as you cast this spell.)
Saproling creatures and other Treefolk creatures get +1/+1.
When Verdeloth enters, if it was kicked, create X 1/1 green Saproling creature tokens.",4,7,,G
Gaea's Might,Gaea's Might,G,1.0,Instant,Instant,Domain — Target creature gets +1/+1 until end of turn for each basic land type among lands you control.,Domain — Target creature gets +1/+1 until end of turn for each basic land type among lands you control.,,,,G
Flux,Flux,2U,3.0,Sorcery,Sorcery,"Each player discards any number of cards, then draws that many cards.
Draw a card.","Each player discards any number of cards, then draws that many cards.
Draw a card.",,,,U
"Zhuge Jin, Wu Strategist","Zhuge Jin, Wu Strategist",1UU,3.0,Legendary Creature — Human Advisor,Legendary Creature — Human Advisor,"{T}: Target creature can't be blocked this turn. Activate only during your turn, before attackers are declared.","{T}: Target creature can't be blocked this turn. Activate only during your turn, before attackers are declared.",1,1,,U
Treva's Attendant,Treva's Attendant,5,5.0,Artifact Creature — Golem,Artifact Creature — Golem,"{1}, Sacrifice this creature: Add {G}{W}{U}.","{1}, Sacrifice this creature: Add {G}{W}{U}.",3,3,,N
Ogre Enforcer,Ogre Enforcer,3RR,5.0,Creature — Ogre,Creature — Ogre,This creature can't be destroyed by lethal damage unless lethal damage dealt by a single source is marked on it.,This creature can't be destroyed by lethal damage unless lethal damage dealt by a single source is marked on it.,4,4,,R
Cursed Flesh,Cursed Flesh,B,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)","Enchant creature
Enchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)",,,,B
Goblin Patrol,Goblin Patrol,R,1.0,Creature — Goblin,Creature — Goblin,"Echo {R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)","Echo {R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",2,1,,R
Assassin's Blade,Assassin's Blade,1B,2.0,Instant,Instant,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Destroy target nonblack attacking creature.","Cast this spell only during the declare attackers step and only if you've been attacked this step.
Destroy target nonblack attacking creature.",,,,B
Dread Charge,Dread Charge,3B,4.0,Sorcery,Sorcery,Black creatures you control can't be blocked this turn except by black creatures.,Black creatures you control can't be blocked this turn except by black creatures.,,,,B
Auriok Transfixer,Auriok Transfixer,W,1.0,Creature — Human Scout,Creature — Human Scout,"{W}, {T}: Tap target artifact.","{W}, {T}: Tap target artifact.",1,1,,W
Ebon Dragon,Ebon Dragon,5BB,7.0,Creature — Dragon,Creature — Dragon,"Flying
When this creature enters, you may have target opponent discard a card.","Flying
When this creature enters, you may have target opponent discard a card.",5,4,,B
Tel-Jilad Stylus,Tel-Jilad Stylus,1,1.0,Artifact,Artifact,{T}: Put target permanent you own on the bottom of your library.,{T}: Put target permanent you own on the bottom of your library.,,,,N
Portent,Portent,U,1.0,Sorcery,Sorcery,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle.
Draw a card at the beginning of the next turn's upkeep.","Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle.
Draw a card at the beginning of the next turn's upkeep.",,,,U
Flowstone Wyvern,Flowstone Wyvern,3RR,5.0,Creature — Drake,Creature — Drake,"Flying
{R}: This creature gets +2/-2 until end of turn.","Flying
{R}: This creature gets +2/-2 until end of turn.",3,3,,R
Krosan Restorer,Krosan Restorer,2G,3.0,Creature — Human Druid,Creature — Human Druid,"{T}: Untap target land.
Threshold — {T}: Untap up to three target lands. Activate only if seven or more cards are in your graveyard.","{T}: Untap target land.
Threshold — {T}: Untap up to three target lands. Activate only if seven or more cards are in your graveyard.",1,2,,G
Crown of Ascension,Crown of Ascension,1U,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature has flying.
Sacrifice this Aura: Enchanted creature and other creatures that share a creature type with it gain flying until end of turn.","Enchant creature
Enchanted creature has flying.
Sacrifice this Aura: Enchanted creature and other creatures that share a creature type with it gain flying until end of turn.",,,,U
Breath of Life,Breath of Life,3W,4.0,Sorcery,Sorcery,Return target creature card from your graveyard to the battlefield.,Return target creature card from your graveyard to the battlefield.,,,,W
Mana Breach,Mana Breach,2U,3.0,Enchantment,Enchantment,"Whenever a player casts a spell, that player returns a land they control to its owner's hand.","Whenever a player casts a spell, that player returns a land they control to its owner's hand.",,,,U
Reality Anchor,Reality Anchor,1G,2.0,Instant,Instant,"Target creature loses shadow until end of turn.
Draw a card.","Target creature loses shadow until end of turn.
Draw a card.",,,,G
Abyssal Horror,Abyssal Horror,4BB,6.0,Creature — Horror,Creature — Horror,"Flying
When this creature enters, target player discards two cards.","Flying
When this creature enters, target player discards two cards.",2,2,,B
Annihilate,Annihilate,3BB,5.0,Instant,Instant,"Destroy target nonblack creature. It can't be regenerated.
Draw a card.","Destroy target nonblack creature. It can't be regenerated.
Draw a card.",,,,B
Lurking Jackals,Lurking Jackals,B,1.0,Enchantment,Enchantment,"When an opponent has 10 or less life, if this permanent is an enchantment, it becomes a 3/2 Jackal creature.","When an opponent has 10 or less life, if this permanent is an enchantment, it becomes a 3/2 Jackal creature.",,,,B
Reviving Vapors,Reviving Vapors,2WU,4.0,Instant,Instant,Reveal the top three cards of your library and put one of them into your hand. You gain life equal to that card's mana value. Put all other cards revealed this way into your graveyard.,Reveal the top three cards of your library and put one of them into your hand. You gain life equal to that card's mana value. Put all other cards revealed this way into your graveyard.,,,,Z
Anaconda,Anaconda,3G,4.0,Creature — Snake,Creature — Snake,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),3,3,,G
Iridescent Angel,Iridescent Angel,5WU,7.0,Creature — Angel,Creature — Angel,"Flying, protection from each color","Flying, protection from each color",4,4,,Z
Pox,Pox,BBB,3.0,Sorcery,Sorcery,"Each player loses a third of their life, then discards a third of the cards in their hand, then sacrifices a third of the creatures they control of their choice, then sacrifices a third of the lands they control of their choice. Round up each time.","Each player loses a third of their life, then discards a third of the cards in their hand, then sacrifices a third of the creatures they control of their choice, then sacrifices a third of the lands they control of their choice. Round up each time.",,,,B
Aurora Griffin,Aurora Griffin,3W,4.0,Creature — Griffin,Creature — Griffin,"Flying
{W}: Target permanent becomes white until end of turn.","Flying
{W}: Target permanent becomes white until end of turn.",2,2,,W
Rain of Salt,Rain of Salt,4RR,6.0,Sorcery,Sorcery,Destroy two target lands.,Destroy two target lands.,,,,R
Trained Pronghorn,Trained Pronghorn,1W,2.0,Creature — Antelope,Creature — Antelope,Discard a card: Prevent all damage that would be dealt to this creature this turn.,Discard a card: Prevent all damage that would be dealt to this creature this turn.,1,1,,W
Thrashing Wumpus,Thrashing Wumpus,3BB,5.0,Creature — Beast,Creature — Beast,{B}: This creature deals 1 damage to each creature and each player.,{B}: This creature deals 1 damage to each creature and each player.,3,3,,B
Terror,Terror,1B,2.0,Instant,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","Destroy target nonartifact, nonblack creature. It can't be regenerated.",,,,B
Rooting Kavu,Rooting Kavu,2GG,4.0,Creature — Kavu,Creature — Kavu,"When this creature dies, you may exile it. If you do, shuffle all creature cards from your graveyard into your library.","When this creature dies, you may exile it. If you do, shuffle all creature cards from your graveyard into your library.",4,3,,G
Symbiosis,Symbiosis,1G,2.0,Instant,Instant,Two target creatures each get +2/+2 until end of turn.,Two target creatures each get +2/+2 until end of turn.,,,,G
Blessed Orator,Blessed Orator,3W,4.0,Creature — Human Cleric,Creature — Human Cleric,Other creatures you control get +0/+1.,Other creatures you control get +0/+1.,1,4,,W
Wall of Swords,Wall of Swords,3W,4.0,Creature — Wall,Creature — Wall,"Defender (This creature can't attack.)
Flying","Defender (This creature can't attack.)
Flying",3,5,,W
Knight Errant,Knight Errant,1W,2.0,Creature — Human Knight,Creature — Human Knight,,,2,2,,W
Erase,Erase,W,1.0,Instant,Instant,Exile target enchantment.,Exile target enchantment.,,,,W
Avatar of Will,Avatar of Will,6UU,8.0,Creature — Avatar,Creature — Avatar,"If an opponent has no cards in hand, this spell costs {6} less to cast.
Flying","If an opponent has no cards in hand, this spell costs {6} less to cast.
Flying",5,6,,U
Wrath of God,Wrath of God,2WW,4.0,Sorcery,Sorcery,Destroy all creatures. They can't be regenerated.,Destroy all creatures. They can't be regenerated.,,,,W
Jilt,Jilt,1U,2.0,Instant,Instant,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Return target creature to its owner's hand. If this spell was kicked, it deals 2 damage to another target creature.","Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)
Return target creature to its owner's hand. If this spell was kicked, it deals 2 damage to another target creature.",,,,U
Animal Magnetism,Animal Magnetism,4G,5.0,Sorcery,Sorcery,Reveal the top five cards of your library. An opponent chooses a creature card from among them. Put that card onto the battlefield and the rest into your graveyard.,Reveal the top five cards of your library. An opponent chooses a creature card from among them. Put that card onto the battlefield and the rest into your graveyard.,,,,G
Juxtapose,Juxtapose,3U,4.0,Sorcery,Sorcery,"You and target player exchange control of the creature you each control with the highest mana value. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest, their controller chooses one of them.","You and target player exchange control of the creature you each control with the highest mana value. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest, their controller chooses one of them.",,,,U
Temporary Insanity,Temporary Insanity,3R,4.0,Instant,Instant,Untap target creature with power less than the number of cards in your graveyard and gain control of it until end of turn. That creature gains haste until end of turn.,Untap target creature with power less than the number of cards in your graveyard and gain control of it until end of turn. That creature gains haste until end of turn.,,,,R
Incinerate,Incinerate,1R,2.0,Instant,Instant,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,,,,R
Temporary Truce,Temporary Truce,1W,2.0,Sorcery,Sorcery,"Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life.","Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life.",,,,W
Caldera Kavu,Caldera Kavu,2R,3.0,Creature — Kavu,Creature — Kavu,"{1}{B}: This creature gets +1/+1 until end of turn.
{G}: This creature becomes the color of your choice until end of turn.","{1}{B}: This creature gets +1/+1 until end of turn.
{G}: This creature becomes the color of your choice until end of turn.",2,2,,R
Pilgrim of Justice,Pilgrim of Justice,2W,3.0,Creature — Human Cleric,Creature — Human Cleric,"Protection from red
{W}, Sacrifice this creature: The next time a red source of your choice would deal damage this turn, prevent that damage.","Protection from red
{W}, Sacrifice this creature: The next time a red source of your choice would deal damage this turn, prevent that damage.",1,3,,W
Overlaid Terrain,Overlaid Terrain,2GG,4.0,Enchantment,Enchantment,"As this enchantment enters, sacrifice all lands you control.
Lands you control have ""{T}: Add two mana of any one color.""","As this enchantment enters, sacrifice all lands you control.
Lands you control have ""{T}: Add two mana of any one color.""",,,,G
Mind Swords,Mind Swords,1B,2.0,Sorcery,Sorcery,"If you control a Swamp, you may sacrifice a creature rather than pay this spell's mana cost.
Each player exiles two cards from their hand.","If you control a Swamp, you may sacrifice a creature rather than pay this spell's mana cost.
Each player exiles two cards from their hand.",,,,B
Infiltrate,Infiltrate,U,1.0,Instant,Instant,Target creature can't be blocked this turn.,Target creature can't be blocked this turn.,,,,U
Black Mana Battery,Black Mana Battery,4,4.0,Artifact,Artifact,"{2}, {T}: Put a charge counter on this artifact.
{T}, Remove any number of charge counters from this artifact: Add {B}, then add an additional {B} for each charge counter removed this way.","{2}, {T}: Put a charge counter on this artifact.
{T}, Remove any number of charge counters from this artifact: Add {B}, then add an additional {B} for each charge counter removed this way.",,,,N
Goblin Spelunkers,Goblin Spelunkers,2R,3.0,Creature — Goblin Warrior,Creature — Goblin Warrior,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),2,2,,R
Skyshroud Poacher,Skyshroud Poacher,2GG,4.0,Creature — Human Rebel,Creature — Human Rebel,"{3}, {T}: Search your library for an Elf permanent card, put it onto the battlefield, then shuffle.","{3}, {T}: Search your library for an Elf permanent card, put it onto the battlefield, then shuffle.",2,2,,G
Tinder Farm,Tinder Farm,,0.0,Land,Land,"This land enters tapped.
{T}: Add {G}.
{T}, Sacrifice this land: Add {R}{W}.","This land enters tapped.
{T}: Add {G}.
{T}, Sacrifice this land: Add {R}{W}.",,,,L
Thopter Squadron,Thopter Squadron,5,5.0,Artifact Creature — Thopter,Artifact Creature — Thopter,"Flying
This creature enters with three +1/+1 counters on it.
{1}, Remove a +1/+1 counter from this creature: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only as a sorcery.
{1}, Sacrifice another Thopter: Put a +1/+1 counter on this creature. Activate only as a sorcery.","Flying
This creature enters with three +1/+1 counters on it.
{1}, Remove a +1/+1 counter from this creature: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only as a sorcery.
{1}, Sacrifice another Thopter: Put a +1/+1 counter on this creature. Activate only as a sorcery.",0,0,,N
Kindle,Kindle,1R,2.0,Instant,Instant,"Kindle deals X damage to any target, where X is 2 plus the number of cards named Kindle in all graveyards.","Kindle deals X damage to any target, where X is 2 plus the number of cards named Kindle in all graveyards.",,,,R
Circle of Protection: Artifacts,Circle of Protection: Artifacts,1W,2.0,Enchantment,Enchantment,"{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.","{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.",,,,W
Elite Javelineer,Elite Javelineer,2W,3.0,Creature — Human Soldier,Creature — Human Soldier,"Whenever this creature blocks, it deals 1 damage to target attacking creature.","Whenever this creature blocks, it deals 1 damage to target attacking creature.",2,2,,W
Robe of Mirrors,Robe of Mirrors,U,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)","Enchant creature (Target a creature as you cast this. This card enters attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)",,,,U
Steel Golem,Steel Golem,3,3.0,Artifact Creature — Golem,Artifact Creature — Golem,You can't cast creature spells.,You can't cast creature spells.,3,4,,N
Saprazzan Raider,Saprazzan Raider,2U,3.0,Creature — Merfolk,Creature — Merfolk,"When this creature becomes blocked, return it to its owner's hand.","When this creature becomes blocked, return it to its owner's hand.",1,2,,U
Mercadian Atlas,Mercadian Atlas,5,5.0,Artifact,Artifact,"At the beginning of your end step, if you didn't play a land this turn, you may draw a card.","At the beginning of your end step, if you didn't play a land this turn, you may draw a card.",,,,N
Coral Helm,Coral Helm,3,3.0,Artifact,Artifact,"{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.","{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.",,,,N
Fists of the Anvil,Fists of the Anvil,1R,2.0,Instant,Instant,Target creature gets +4/+0 until end of turn.,Target creature gets +4/+0 until end of turn.,,,,R
Shaman's Trance,Shaman's Trance,2R,3.0,Instant,Instant,Other players can't play lands or cast spells from their graveyards this turn. You may play lands and cast spells from other players' graveyards this turn as though those cards were in your graveyard.,Other players can't play lands or cast spells from their graveyards this turn. You may play lands and cast spells from other players' graveyards this turn as though those cards were in your graveyard.,,,,R
Rootwater Thief,Rootwater Thief,1U,2.0,Creature — Merfolk Rogue,Creature — Merfolk Rogue,"{U}: This creature gains flying until end of turn.
Whenever this creature deals combat damage to a player, you may pay {2}. If you do, search that player's library for a card and exile it, then the player shuffles.","{U}: This creature gains flying until end of turn.
Whenever this creature deals combat damage to a player, you may pay {2}. If you do, search that player's library for a card and exile it, then the player shuffles.",1,2,,U
Resistance Fighter,Resistance Fighter,W,1.0,Creature — Human Soldier,Creature — Human Soldier,Sacrifice this creature: Prevent all combat damage target creature would deal this turn.,Sacrifice this creature: Prevent all combat damage target creature would deal this turn.,1,1,,W
Welkin Hawk,Welkin Hawk,1W,2.0,Creature — Bird,Creature — Bird,"Flying
When this creature dies, you may search your library for a card named Welkin Hawk, reveal that card, put it into your hand, then shuffle.","Flying
When this creature dies, you may search your library for a card named Welkin Hawk, reveal that card, put it into your hand, then shuffle.",1,1,,W
Haunted Angel,Haunted Angel,2W,3.0,Creature — Angel,Creature — Angel,"Flying
When this creature dies, exile it and each other player creates a 3/3 black Angel creature token with flying.","Flying
When this creature dies, exile it and each other player creates a 3/3 black Angel creature token with flying.",3,3,,W
Keldon Berserker,Keldon Berserker,3R,4.0,Creature — Human Soldier Berserker,Creature — Human Soldier Berserker,"Whenever this creature attacks, if you control no untapped lands, it gets +3/+0 until end of turn.","Whenever this creature attacks, if you control no untapped lands, it gets +3/+0 until end of turn.",2,3,,R
Revered Unicorn,Revered Unicorn,1W,2.0,Creature — Unicorn,Creature — Unicorn,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this creature leaves the battlefield, you gain life equal to the number of age counters on it.","Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When this creature leaves the battlefield, you gain life equal to the number of age counters on it.",2,3,,W
Nakaya Shade,Nakaya Shade,1B,2.0,Creature — Shade,Creature — Shade,{B}: This creature gets +1/+1 until end of turn unless any player pays {2}.,{B}: This creature gets +1/+1 until end of turn unless any player pays {2}.,1,1,,B
Wolf Pack,Wolf Pack,6GG,8.0,Creature — Wolf,Creature — Wolf,You may have this creature assign its combat damage as though it weren't blocked.,You may have this creature assign its combat damage as though it weren't blocked.,7,6,,G
Keldon Mantle,Keldon Mantle,1R,2.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
{B}: Regenerate enchanted creature.
{R}: Enchanted creature gets +1/+0 until end of turn.
{G}: Enchanted creature gains trample until end of turn.","Enchant creature
{B}: Regenerate enchanted creature.
{R}: Enchanted creature gets +1/+0 until end of turn.
{G}: Enchanted creature gains trample until end of turn.",,,,R
Fissure,Fissure,3RR,5.0,Instant,Instant,Destroy target creature or land. It can't be regenerated.,Destroy target creature or land. It can't be regenerated.,,,,R
Soul Net,Soul Net,1,1.0,Artifact,Artifact,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life.","Whenever a creature dies, you may pay {1}. If you do, you gain 1 life.",,,,N
Blighted Shaman,Blighted Shaman,1B,2.0,Creature — Human Cleric Shaman,Creature — Human Cleric Shaman,"{T}, Sacrifice a Swamp: Target creature gets +1/+1 until end of turn.
{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.","{T}, Sacrifice a Swamp: Target creature gets +1/+1 until end of turn.
{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.",1,1,,B
Rupture,Rupture,2R,3.0,Sorcery,Sorcery,Sacrifice a creature. Rupture deals damage equal to that creature's power to each creature without flying and each player.,Sacrifice a creature. Rupture deals damage equal to that creature's power to each creature without flying and each player.,,,,R
"Guan Yu, Sainted Warrior","Guan Yu, Sainted Warrior",3WW,5.0,Legendary Creature — Human Soldier Warrior,Legendary Creature — Human Soldier Warrior,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
When Guan Yu is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.","Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
When Guan Yu is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.",3,5,,W
Raka Disciple,Raka Disciple,R,1.0,Creature — Minotaur Wizard,Creature — Minotaur Wizard,"{W}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.
{U}, {T}: Target creature gains flying until end of turn.","{W}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.
{U}, {T}: Target creature gains flying until end of turn.",1,1,,R
Lightning Dart,Lightning Dart,1R,2.0,Instant,Instant,"Lightning Dart deals 1 damage to target creature. If that creature is white or blue, Lightning Dart deals 4 damage to it instead.","Lightning Dart deals 1 damage to target creature. If that creature is white or blue, Lightning Dart deals 4 damage to it instead.",,,,R
Yavimaya Elder,Yavimaya Elder,1GG,3.0,Creature — Human Druid,Creature — Human Druid,"When this creature dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.
{2}, Sacrifice this creature: Draw a card.","When this creature dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.
{2}, Sacrifice this creature: Draw a card.",2,1,,G
Righteous Aura,Righteous Aura,1W,2.0,Enchantment,Enchantment,"{W}, Pay 2 life: The next time a source of your choice would deal damage to you this turn, prevent that damage.","{W}, Pay 2 life: The next time a source of your choice would deal damage to you this turn, prevent that damage.",,,,W
Bullwhip,Bullwhip,4,4.0,Artifact,Artifact,"{2}, {T}: This artifact deals 1 damage to target creature. That creature attacks this turn if able.","{2}, {T}: This artifact deals 1 damage to target creature. That creature attacks this turn if able.",,,,N
Damping Matrix,Damping Matrix,3,3.0,Artifact,Artifact,Activated abilities of artifacts and creatures can't be activated unless they're mana abilities.,Activated abilities of artifacts and creatures can't be activated unless they're mana abilities.,,,,N
Boa Constrictor,Boa Constrictor,4G,5.0,Creature — Snake,Creature — Snake,{T}: This creature gets +3/+3 until end of turn.,{T}: This creature gets +3/+3 until end of turn.,3,3,,G
Krovikan Sorcerer,Krovikan Sorcerer,2U,3.0,Creature — Human Wizard,Creature — Human Wizard,"{T}, Discard a nonblack card: Draw a card.
{T}, Discard a black card: Draw two cards, then discard one of them.","{T}, Discard a nonblack card: Draw a card.
{T}, Discard a black card: Draw two cards, then discard one of them.",1,1,,U
Nantuko Elder,Nantuko Elder,2G,3.0,Creature — Insect Druid,Creature — Insect Druid,{T}: Add {C}{G}.,{T}: Add {C}{G}.,1,2,,G
"Treva, the Renewer","Treva, the Renewer",3GWU,6.0,Legendary Creature — Dragon,Legendary Creature — Dragon,"Flying
Whenever Treva deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.","Flying
Whenever Treva deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.",6,6,,Z
Venerable Monk,Venerable Monk,2W,3.0,Creature — Human Monk Cleric,Creature — Human Monk Cleric,"When this creature enters, you gain 2 life.","When this creature enters, you gain 2 life.",2,2,,W
Meng Huo's Horde,Meng Huo's Horde,4G,5.0,Creature — Human Soldier,Creature — Human Soldier,,,4,5,,G
Wall of Spears,Wall of Spears,3,3.0,Artifact Creature — Wall,Artifact Creature — Wall,"Defender (This creature can't attack.)
First strike","Defender (This creature can't attack.)
First strike",2,3,,N
Wallop,Wallop,1G,2.0,Sorcery,Sorcery,Destroy target blue or black creature with flying.,Destroy target blue or black creature with flying.,,,,G
Ghitu Slinger,Ghitu Slinger,2R,3.0,Creature — Human Nomad,Creature — Human Nomad,"Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, it deals 2 damage to any target.","Echo {2}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When this creature enters, it deals 2 damage to any target.",2,2,,R
Ostracize,Ostracize,B,1.0,Sorcery,Sorcery,Target opponent reveals their hand. You choose a creature card from it. That player discards that card.,Target opponent reveals their hand. You choose a creature card from it. That player discards that card.,,,,B
Bottle Gnomes,Bottle Gnomes,3,3.0,Artifact Creature — Gnome,Artifact Creature — Gnome,Sacrifice this creature: You gain 3 life.,Sacrifice this creature: You gain 3 life.,1,3,,N
Cabal Slaver,Cabal Slaver,2B,3.0,Creature — Human Cleric,Creature — Human Cleric,"Whenever a Goblin deals combat damage to a player, that player discards a card.","Whenever a Goblin deals combat damage to a player, that player discards a card.",2,1,,B
Severed Legion,Severed Legion,1BB,3.0,Creature — Zombie,Creature — Zombie,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.),Fear (This creature can't be blocked except by artifact creatures and/or black creatures.),2,2,,B
Quirion Elves,Quirion Elves,1G,2.0,Creature — Elf Druid,Creature — Elf Druid,"As this creature enters, choose a color.
{T}: Add {G}.
{T}: Add one mana of the chosen color.","As this creature enters, choose a color.
{T}: Add {G}.
{T}: Add one mana of the chosen color.",1,1,,G
Avarax,Avarax,3RR,5.0,Creature — Beast,Creature — Beast,"Haste
When this creature enters, you may search your library for a card named Avarax, reveal it, put it into your hand, then shuffle.
{1}{R}: This creature gets +1/+0 until end of turn.","Haste
When this creature enters, you may search your library for a card named Avarax, reveal it, put it into your hand, then shuffle.
{1}{R}: This creature gets +1/+0 until end of turn.",3,3,,R
Aura Fracture,Aura Fracture,2W,3.0,Enchantment,Enchantment,Sacrifice a land: Destroy target enchantment.,Sacrifice a land: Destroy target enchantment.,,,,W
Notorious Assassin,Notorious Assassin,3B,4.0,Creature — Human Spellshaper Assassin,Creature — Human Spellshaper Assassin,"{2}{B}, {T}, Discard a card: Destroy target nonblack creature. It can't be regenerated.","{2}{B}, {T}, Discard a card: Destroy target nonblack creature. It can't be regenerated.",2,2,,B
