eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Skyship Weatherlight,,,4,4.0,N,Legendary Artifact,,,,,,"When Skyship Weatherlight enters, search your library for any number of artifact and/or creature cards, exile them, then shuffle.
{4}, {T}: Choose a card at random that was exiled with Skyship Weatherlight. Put that card into its owner's hand.",,,,
Warmth,,,1W,2.0,W,Enchantment,,,,,,"Whenever an opponent casts a red spell, you gain 2 life.",,,,
Edgewalker,,,1WB,3.0,Z,Creature — Human Cleric,,2/2,2,2,,"Cleric spells you cast cost {W}{B} less to cast. This effect reduces only the amount of colored mana you pay. (For example, if you cast a Cleric spell with mana cost {1}{W}, it costs {1} to cast.)",,,,
Bubbling Muck,,,B,1.0,B,Sorcery,,,,,,"Until end of turn, whenever a player taps a Swamp for mana, that player adds an additional {B}.",,,,
Brothers of Fire,,,1RR,3.0,R,Creature — Human Shaman,,2/2,2,2,,{1}{R}{R}: This creature deals 1 damage to any target and 1 damage to you.,,,,
Zur's Weirding,,,3U,4.0,U,Enchantment,,,,,,"Players play with their hands revealed.
If a player would draw a card, they reveal it instead. Then any other player may pay 2 life. If a player does, put that card into its owner's graveyard. Otherwise, that player draws a card.",,,,
Wolverine Pack,,,2GG,4.0,G,Creature — Wolverine,,2/4,2,4,,"Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)",,,,
Memory Jar,,,5,5.0,N,Artifact,,,,,,"{T}, Sacrifice this artifact: Each player exiles all cards from their hand face down and draws seven cards. At the beginning of the next end step, each player discards their hand and returns to their hand each card they exiled this way.",,,,
Dredge,,,B,1.0,B,Instant,,,,,,"Sacrifice a creature or land.
Draw a card.",,,,
High Ground,,,W,1.0,W,Enchantment,,,,,,Each creature you control can block an additional creature each combat.,,,,
Troublesome Spirit,,,2UU,4.0,U,Creature — Spirit,,3/4,3,4,,"Flying
At the beginning of your end step, tap all lands you control.",,,,
Addle,,,1B,2.0,B,Sorcery,,,,,,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,,,,
Shu Grain Caravan,,,2W,3.0,W,Creature — Human Soldier,,2/2,2,2,,"When this creature enters, you gain 2 life.",,,,
Wielding the Green Dragon,,,1G,2.0,G,Sorcery,,,,,,Target creature gets +4/+4 until end of turn.,,,,
Psychic Membrane,,,2U,3.0,U,Creature — Wall,,0/3,0,3,,"Defender (This creature can't attack.)
Whenever this creature blocks, you may draw a card.",,,,
Atogatog,,,WUBRG,5.0,Z,Legendary Creature — Atog,,5/5,5,5,,"Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power.",,,,
Corrupt Court Official,,,1B,2.0,B,Creature — Human Advisor,,1/1,1,1,,"When this creature enters, target opponent discards a card.",,,,
Goblin Raider,,,1R,2.0,R,Creature — Goblin Warrior,,2/2,2,2,,This creature can't block.,,,,
Spinal Embrace,,,3UUB,6.0,Z,Instant,,,,,,"Cast this spell only during combat.
Untap target creature you don't control and gain control of it. It gains haste until end of turn. At the beginning of the next end step, sacrifice it. If you do, you gain life equal to its toughness.",,,,
Falter,,,1R,2.0,R,Instant,,,,,,Creatures without flying can't block this turn.,,,,
Noble Stand,,,4W,5.0,W,Enchantment,,,,,,"Whenever a creature you control blocks, you gain 2 life.",,,,
Skyshaper,,,2,2.0,N,Artifact,,,,,,Sacrifice this artifact: Creatures you control gain flying until end of turn.,,,,
Trumpet Blast,,,2R,3.0,R,Instant,,,,,,Attacking creatures get +2/+0 until end of turn.,,,,
Carrion Wall,,,1BB,3.0,B,Creature — Wall,,3/2,3,2,,"Defender (This creature can't attack.)
{1}{B}: Regenerate this creature.",,,,
Kjeldoran Skycaptain,,,4W,5.0,W,Creature — Human Soldier,,2/2,2,2,,"Flying; first strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,,,
Seton's Desire,,,2G,3.0,G,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +2/+2.
Threshold — As long as seven or more cards are in your graveyard, all creatures able to block enchanted creature do so.",,,,
Intervene,,,U,1.0,U,Instant,,,,,,Counter target spell that targets a creature.,,,,
Leery Fogbeast,,,2G,3.0,G,Creature — Beast,,4/2,4,2,,"Whenever this creature becomes blocked, prevent all combat damage that would be dealt this turn.",,,,
Wall of Vipers,,,2B,3.0,B,Creature — Snake Wall,,2/4,2,4,,"Defender (This creature can't attack.)
{3}: Destroy this creature and target creature it's blocking. Any player may activate this ability.",,,,
Endless Scream,,,XB,1.0,B,Enchantment — Aura,,,,,,"Enchant creature
This Aura enters with X scream counters on it.
Enchanted creature gets +1/+0 for each scream counter on this Aura.",,,,
Seasoned Marshal,,,2WW,4.0,W,Creature — Human Soldier,,2/2,2,2,,"Whenever this creature attacks, you may tap target creature.",,,,
Void,,,3BR,5.0,Z,Sorcery,,,,,,Choose a number. Destroy all artifacts and creatures with mana value equal to that number. Then target player reveals their hand and discards all nonland cards with mana value equal to the number.,,,,
Hope and Glory,,,1W,2.0,W,Instant,,,,,,Untap two target creatures. Each of them gets +1/+1 until end of turn.,,,,
Hungry Mist,,,2GG,4.0,G,Creature — Elemental,,6/2,6,2,,"At the beginning of your upkeep, sacrifice this creature unless you pay {G}{G}.",,,,
Fodder Cannon,,,4,4.0,N,Artifact,,,,,,"{4}, {T}, Sacrifice a creature: This artifact deals 4 damage to target creature.",,,,
Militant Monk,,,1WW,3.0,W,Creature — Human Monk Cleric,,2/1,2,1,,"Vigilance
{T}: Prevent the next 1 damage that would be dealt to any target this turn.",,,,
Thundering Giant,,,3RR,5.0,R,Creature — Giant,,4/3,4,3,,Haste (This creature can attack and {T} as soon as it comes under your control.),,,,
Harsh Mercy,,,2W,3.0,W,Sorcery,,,,,,Each player chooses a creature type. Destroy all creatures that aren't of a type chosen this way. They can't be regenerated.,,,,
Mahamoti Djinn,,,4UU,6.0,U,Creature — Djinn,,5/6,5,6,,Flying (This creature can't be blocked except by creatures with flying or reach.),,,,
Stronghold Discipline,,,2BB,4.0,B,Sorcery,,,,,,Each player loses 1 life for each creature they control.,,,,
Eternal Dragon,,,5WW,7.0,W,Creature — Dragon Spirit,,5/5,5,5,,"Flying
{3}{W}{W}: Return this card from your graveyard to your hand. Activate only during your upkeep.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",,,,
Time Spiral,,,4UU,6.0,U,Sorcery,,,,,,"Exile Time Spiral. Each player shuffles their hand and graveyard into their library, then draws seven cards. You untap up to six lands.",,,,
Spitting Hydra,,,3RR,5.0,R,Creature — Hydra,,0/0,0,0,,"This creature enters with four +1/+1 counters on it.
{1}{R}, Remove a +1/+1 counter from this creature: It deals 1 damage to target creature.",,,,
Coat of Arms,,,5,5.0,N,Artifact,,,,,,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)",,,,
Chromeshell Crab,,,4U,5.0,U,Creature — Crab Beast,,3/3,3,3,,"Morph {4}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, you may exchange control of target creature you control and target creature an opponent controls.",,,,
Repentant Vampire,,,3BB,5.0,B,Creature — Vampire,,3/3,3,3,,"Flying
Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature.
Threshold — As long as seven or more cards are in your graveyard, this creature is white and has ""{T}: Destroy target black creature.""",,,,
Ramosian Captain,,,1WW,3.0,W,Creature — Human Rebel,,2/2,2,2,,"First strike
{5}, {T}: Search your library for a Rebel permanent card with mana value 4 or less, put it onto the battlefield, then shuffle.",,,,
Aven Redeemer,,,3W,4.0,W,Creature — Bird Cleric,,2/2,2,2,,"Flying
{T}: Prevent the next 2 damage that would be dealt to any target this turn.",,,,
Thresher Beast,,,3GG,5.0,G,Creature — Beast,,4/4,4,4,,"Whenever this creature becomes blocked, defending player sacrifices a land of their choice.",,,,
Hawkeater Moth,,,3G,4.0,G,Creature — Insect,,1/2,1,2,,"Flying
Shroud (This creature can't be the target of spells or abilities.)",,,,
White Knight,,,WW,2.0,W,Creature — Human Knight,,2/2,2,2,,"First strike (This creature deals combat damage before creatures without first strike.)
Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)",,,,
Vec Townships,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{T}: Add {G} or {W}. This land doesn't untap during your next untap step.",,,,
Scorching Lava,,,1R,2.0,R,Instant,,,,,,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Scorching Lava deals 2 damage to any target. If this spell was kicked, that creature can't be regenerated this turn and if it would die this turn, exile it instead.",,,,
Noble Benefactor,,,2U,3.0,U,Creature — Human Cleric,,2/2,2,2,,"When this creature dies, each player may search their library for a card and put that card into their hand. Then each player who searched their library this way shuffles.",,,,
Blaze,,,XR,1.0,R,Sorcery,,,,,,Blaze deals X damage to any target.,,,,
Emerald Medallion,,,2,2.0,N,Artifact,,,,,,Green spells you cast cost {1} less to cast.,,,,
Woodripper,,,3GG,5.0,G,Creature — Beast,,4/6,4,6,,"Fading 3 (This creature enters with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
{1}, Remove a fade counter from this creature: Destroy target artifact.",,,,
Songstitcher,,,W,1.0,W,Creature — Human Cleric,,1/1,1,1,,{1}{W}: Prevent all combat damage that would be dealt this turn by target attacking creature with flying.,,,,
"Zhang He, Wei General",,,3BB,5.0,B,Legendary Creature — Human Soldier,,4/2,4,2,,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Whenever Zhang He attacks, each other creature you control gets +1/+0 until end of turn.",,,,
Might of Oaks,,,3G,4.0,G,Instant,,,,,,Target creature gets +7/+7 until end of turn.,,,,
Desperate Gambit,,,R,1.0,R,Instant,,,,,,"Choose a source you control and flip a coin. If you win the flip, the next time that source would deal damage this turn, it deals double that damage instead. If you lose the flip, the next time it would deal damage this turn, prevent that damage.",,,,
Zombie Cutthroat,,,3BB,5.0,B,Creature — Zombie,,3/4,3,4,,Morph—Pay 5 life. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),,,,
Ill-Gotten Gains,,,2BB,4.0,B,Sorcery,,,,,,"Exile Ill-Gotten Gains. Each player discards their hand, then returns up to three cards from their graveyard to their hand.",,,,
Rackling,,,4,4.0,N,Artifact Creature — Phyrexian Construct,,2/2,2,2,,"At the beginning of each opponent's upkeep, this creature deals X damage to that player, where X is 3 minus the number of cards in their hand.",,,,
Scalpelexis,,,4U,5.0,U,Creature — Beast,,1/5,1,5,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever this creature deals combat damage to a player, that player exiles the top four cards of their library. If two or more of those cards have the same name, repeat this process.",,,,
Bind,,,1G,2.0,G,Instant,,,,,,"Counter target activated ability. (Mana abilities can't be targeted.)
Draw a card.",,,,
Splinter,,,2GG,4.0,G,Sorcery,,,,,,"Exile target artifact. Search its controller's graveyard, hand, and library for all cards with the same name as that artifact and exile them. Then that player shuffles.",,,,
Phyrexian Lens,,,3,3.0,N,Artifact,,,,,,"{T}, Pay 1 life: Add one mana of any color.",,,,
Cabal Surgeon,,,2BB,4.0,B,Creature — Human Minion,,2/1,2,1,,"{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.",,,,
Rushwood Legate,,,2G,3.0,G,Creature — Dryad,,2/1,2,1,,"If an opponent controls an Island and you control a Forest, you may cast this spell without paying its mana cost.",,,,
Necrogen Spellbomb,,,1,1.0,N,Artifact,,,,,,"{B}, Sacrifice this artifact: Target player discards a card.
{1}, Sacrifice this artifact: Draw a card.",,,,
Crown of Flames,,,R,1.0,R,Enchantment — Aura,,,,,,"Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.
{R}: Return this Aura to its owner's hand.",,,,
Phantom Warrior,,,1UU,3.0,U,Creature — Illusion Warrior,,2/2,2,2,,This creature can't be blocked.,,,,
Razing Snidd,,,4BR,6.0,Z,Creature — Beast,,3/3,3,3,,"When this creature enters, return a black or red creature you control to its owner's hand.
When this creature enters, each player sacrifices a land of their choice.",,,,
Vendetta,,,B,1.0,B,Instant,,,,,,Destroy target nonblack creature. It can't be regenerated. You lose life equal to that creature's toughness.,,,,
Seize the Day,,,3R,4.0,R,Sorcery,,,,,,"Untap target creature. After this main phase, there is an additional combat phase followed by an additional main phase.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Treefolk Mystic,,,3G,4.0,G,Creature — Treefolk,,2/4,2,4,,"Whenever this creature blocks or becomes blocked by a creature, destroy all Auras attached to that creature.",,,,
Stoic Champion,,,WW,2.0,W,Creature — Human Soldier,,2/2,2,2,,"Whenever a player cycles a card, this creature gets +2/+2 until end of turn.",,,,
Hurricane,,,XG,1.0,G,Sorcery,,,,,,Hurricane deals X damage to each creature with flying and each player.,,,,
Scalding Tongs,,,2,2.0,N,Artifact,,,,,,"At the beginning of your upkeep, if you have three or fewer cards in hand, this artifact deals 1 damage to target opponent or planeswalker.",,,,
Shifting Sky,,,2U,3.0,U,Enchantment,,,,,,"As this enchantment enters, choose a color.
All nonland permanents are the chosen color.",,,,
Serra's Blessing,,,1W,2.0,W,Enchantment,,,,,,Creatures you control have vigilance. (Attacking doesn't cause them to tap.),,,,
Glacial Wall,,,2U,3.0,U,Creature — Wall,,0/7,0,7,,Defender (This creature can't attack.),,,,
Regal Unicorn,,,2W,3.0,W,Creature — Unicorn,,2/3,2,3,,,,,,
Knight of Valor,,,2W,3.0,W,Creature — Human Knight,,2/2,2,2,,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
{1}{W}: Each creature without flanking blocking this creature gets -1/-1 until end of turn. Activate only once each turn.",,,,
Howling Mine,,,2,2.0,N,Artifact,,,,,,"At the beginning of each player's draw step, if this artifact is untapped, that player draws an additional card.",,,,
Seer's Vision,,,2UB,4.0,Z,Enchantment,,,,,,"Your opponents play with their hands revealed.
Sacrifice this enchantment: Look at target player's hand and choose a card from it. That player discards that card. Activate only as a sorcery.",,,,
Nocturnal Raid,,,2BB,4.0,B,Instant,,,,,,Black creatures get +2/+0 until end of turn.,,,,
Thought Nibbler,,,U,1.0,U,Creature — Beast,,1/1,1,1,,"Flying
Your maximum hand size is reduced by two.",,,,
Mourner's Shield,,,4,4.0,N,Artifact,,,,,,"Imprint — When this artifact enters, you may exile target card from a graveyard.
{2}, {T}: Prevent all damage that would be dealt this turn by a source of your choice that shares a color with the exiled card.",,,,
Seton's Scout,,,1G,2.0,G,Creature — Centaur Druid Scout Archer,,2/1,2,1,,"Reach (This creature can block creatures with flying.)
Threshold — This creature gets +2/+2 as long as seven or more cards are in your graveyard.",,,,
Brush with Death,,,2B,3.0,B,Sorcery,,,,,,"Buyback {2}{B}{B} (You may pay an additional {2}{B}{B} as you cast this spell. If you do, put this card into your hand as it resolves.)
Target opponent loses 2 life. You gain 2 life.",,,,
Frantic Search,,,2U,3.0,U,Instant,,,,,,"Draw two cards, then discard two cards. Untap up to three lands.",,,,
Keeper of the Light,,,WW,2.0,W,Creature — Human Wizard,,1/2,1,2,,"{W}, {T}: Choose target opponent who has more life than you do as you activate this ability. You gain 3 life.",,,,
Phyrexian Marauder,,,X,0.0,N,Artifact Creature — Phyrexian Construct,,0/0,0,0,,"This creature enters with X +1/+1 counters on it.
This creature can't block.
This creature can't attack unless you pay {1} for each +1/+1 counter on it.",,,,
Lightning Greaves,,,2,2.0,N,Artifact — Equipment,,,,,,"Equipped creature has haste and shroud. (It can't be the target of spells or abilities.)
Equip {0}",,,,
Soul Warden,,,W,1.0,W,Creature — Human Cleric,,1/1,1,1,,"Whenever another creature enters, you gain 1 life.",,,,
Vodalian Merchant,,,1U,2.0,U,Creature — Merfolk,,1/2,1,2,,"When this creature enters, draw a card, then discard a card.",,,,
Iron Star,,,1,1.0,N,Artifact,,,,,,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.",,,,
Kirtar's Desire,,,W,1.0,W,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature can't attack.
Threshold — Enchanted creature can't block as long as seven or more cards are in your graveyard.",,,,
Mind Sludge,,,4B,5.0,B,Sorcery,,,,,,Target player discards a card for each Swamp you control.,,,,
Hunting Grounds,,,GW,2.0,Z,Enchantment,,,,,,"Threshold — As long as seven or more cards are in your graveyard, this enchantment has ""Whenever an opponent casts a spell, you may put a creature card from your hand onto the battlefield.""",,,,
Whirlpool Warrior,,,2U,3.0,U,Creature — Merfolk Warrior,,2/2,2,2,,"When this creature enters, shuffle the cards from your hand into your library, then draw that many cards.
{R}, Sacrifice this creature: Each player shuffles the cards from their hand into their library, then draws that many cards.",,,,
"Braids, Cabal Minion",,,2BB,4.0,B,Legendary Creature — Human Minion,,2/2,2,2,,"At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land of their choice.",,,,
Temporal Fissure,,,4U,5.0,U,Sorcery,,,,,,"Return target permanent to its owner's hand.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",,,,
Cinder Elemental,,,3R,4.0,R,Creature — Elemental,,2/2,2,2,,"{X}{R}, {T}, Sacrifice this creature: It deals X damage to any target.",,,,
Straw Golem,,,1,1.0,N,Artifact Creature — Golem,,2/3,2,3,,"When an opponent casts a creature spell, sacrifice this creature.",,,,
Balduvian Barbarians,,,1RR,3.0,R,Creature — Human Barbarian,,3/2,3,2,,,,,,
Trap Runner,,,2WW,4.0,W,Creature — Human Soldier,,2/3,2,3,,{T}: Target unblocked attacking creature becomes blocked. Activate only during combat after blockers are declared. (This ability works on creatures that can't be blocked.),,,,
Dragonspeaker Shaman,,,1RR,3.0,R,Creature — Human Barbarian Shaman,,2/2,2,2,,Dragon spells you cast cost {2} less to cast.,,,,
Atog,,,1R,2.0,R,Creature — Atog,,1/2,1,2,,Sacrifice an artifact: This creature gets +2/+2 until end of turn.,,,,
Disciple of Grace,,,1W,2.0,W,Creature — Human Cleric,,1/2,1,2,,"Protection from black
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Rhystic Syphon,,,3BB,5.0,B,Sorcery,,,,,,"Unless target player pays {3}, that player loses 5 life and you gain 5 life.",,,,
Spitting Gourna,,,3GG,5.0,G,Creature — Beast,,3/4,3,4,,"Reach (This creature can block creatures with flying.)
Morph {4}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Mana Echoes,,,2RR,4.0,R,Enchantment,,,,,,"Whenever a creature enters, you may add an amount of {C} equal to the number of creatures you control that share a creature type with it.",,,,
Kjeldoran Dead,,,B,1.0,B,Creature — Skeleton,,3/1,3,1,,"When this creature enters, sacrifice a creature.
{B}: Regenerate this creature.",,,,
Nantuko Mentor,,,2G,3.0,G,Creature — Insect Druid,,1/1,1,1,,"{2}{G}, {T}: Target creature gets +X/+X until end of turn, where X is that creature's power.",,,,
Tsabo Tavoc,,,5BR,7.0,Z,Legendary Creature — Phyrexian Horror,,7/4,7,4,,"First strike, protection from legendary creatures
{B}{B}, {T}: Destroy target legendary creature. It can't be regenerated.",,,,
Crackling Club,,,R,1.0,R,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+0.
Sacrifice this Aura: It deals 1 damage to target creature.",,,,
Cavern Harpy,,,UB,2.0,Z,Creature — Harpy Beast,,2/1,2,1,,"Flying
When this creature enters, return a blue or black creature you control to its owner's hand.
Pay 1 life: Return this creature to its owner's hand.",,,,
Goblin Rock Sled,,,1R,2.0,R,Creature — Goblin,,3/1,3,1,,"Trample
This creature doesn't untap during your untap step if it attacked during your last turn.
This creature can't attack unless defending player controls a Mountain.",,,,
Chub Toad,,,2G,3.0,G,Creature — Frog,,1/1,1,1,,"Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.",,,,
Undermine,,,UUB,3.0,Z,Instant,,,,,,Counter target spell. Its controller loses 3 life.,,,,
Boneshard Slasher,,,1B,2.0,B,Creature — Horror,,1/1,1,1,,"Flying
Threshold — As long as seven or more cards are in your graveyard, this creature gets +2/+2 and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",,,,
Patagia Golem,,,4,4.0,N,Artifact Creature — Golem,,2/3,2,3,,{3}: This creature gains flying until end of turn.,,,,
Fledgling Djinn,,,1B,2.0,B,Creature — Djinn,,2/2,2,2,,"Flying
At the beginning of your upkeep, this creature deals 1 damage to you.",,,,
Avenging Druid,,,2G,3.0,G,Creature — Human Druid,,1/3,1,3,,"Whenever this creature deals damage to an opponent, you may reveal cards from the top of your library until you reveal a land card. If you do, put that card onto the battlefield and put all other cards revealed this way into your graveyard.",,,,
Last-Ditch Effort,,,R,1.0,R,Instant,,,,,,Sacrifice any number of creatures. Last-Ditch Effort deals that much damage to any target.,,,,
Nantuko Disciple,,,3G,4.0,G,Creature — Insect Druid,,2/2,2,2,,"{G}, {T}: Target creature gets +2/+2 until end of turn.",,,,
Virtuous Charge,,,2W,3.0,W,Sorcery,,,,,,Creatures you control get +1/+1 until end of turn.,,,,
Scorching Winds,,,R,1.0,R,Instant,,,,,,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Scorching Winds deals 1 damage to each attacking creature.",,,,
Auriok Steelshaper,,,1W,2.0,W,Creature — Human Soldier,,1/1,1,1,,"Equip costs you pay cost {1} less.
As long as this creature is equipped, each creature you control that's a Soldier or a Knight gets +1/+1.",,,,
Ice Cave,,,3UU,5.0,U,Enchantment,,,,,,"Whenever a player casts a spell, any other player may pay that spell's mana cost. If a player does, counter the spell. (Mana cost includes color.)",,,,
Nether Shadow,,,BB,2.0,B,Creature — Spirit,,1/1,1,1,,"Haste
At the beginning of your upkeep, if this card is in your graveyard with three or more creature cards above it, you may put this card onto the battlefield.",,,,
Necrologia,,,3BB,5.0,B,Instant,,,,,,"Cast this spell only during your end step.
As an additional cost to cast this spell, pay X life.
Draw X cards.",,,,
Vulshok Battlemaster,,,4R,5.0,R,Creature — Human Warrior,,2/2,2,2,,"Haste
When this creature enters, attach all Equipment on the battlefield to it. (Control of the Equipment doesn't change.)",,,,
Acidic Soil,,,2R,3.0,R,Sorcery,,,,,,Acidic Soil deals damage to each player equal to the number of lands they control.,,,,
Thran War Machine,,,4,4.0,N,Artifact Creature — Construct,,4/5,4,5,,"Echo {4} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
This creature attacks each combat if able.",,,,
Rathi Fiend,,,3B,4.0,B,Creature — Phyrexian Horror Mercenary,,2/2,2,2,,"When this creature enters, each player loses 3 life.
{3}, {T}: Search your library for a Mercenary permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.",,,,
Dream Chisel,,,2,2.0,N,Artifact,,,,,,Face-down creature spells you cast cost {1} less to cast.,,,,
Angelic Page,,,1W,2.0,W,Creature — Angel Spirit,,1/1,1,1,,"Flying
{T}: Target attacking or blocking creature gets +1/+1 until end of turn.",,,,
Spidersilk Armor,,,2G,3.0,G,Enchantment,,,,,,Creatures you control get +0/+1 and have reach. (They can block creatures with flying.),,,,
Flash of Defiance,,,1R,2.0,R,Sorcery,,,,,,"Green creatures and white creatures can't block this turn.
Flashback—{1}{R}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Pariah,,,2W,3.0,W,Enchantment — Aura,,,,,,"Enchant creature
All damage that would be dealt to you is dealt to enchanted creature instead.",,,,
Sea Serpent,,,5U,6.0,U,Creature — Serpent,,5/5,5,5,,"This creature can't attack unless defending player controls an Island.
When you control no Islands, sacrifice this creature.",,,,
Ghitu Fire,,,XR,1.0,R,Sorcery,,,,,,"You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)
Ghitu Fire deals X damage to any target.",,,,
Catalog,,,2U,3.0,U,Instant,,,,,,"Draw two cards, then discard a card.",,,,
Burrowing,,,R,1.0,R,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.)",,,,
Elvish Scrapper,,,G,1.0,G,Creature — Elf,,1/1,1,1,,"{G}, {T}, Sacrifice this creature: Destroy target artifact.",,,,
Regeneration,,,1G,2.0,G,Enchantment — Aura,,,,,,"Enchant creature (Target a creature as you cast this. This card enters attached to that creature.)
{G}: Regenerate enchanted creature. (The next time that creature would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)",,,,
Instigator,,,1B,2.0,B,Creature — Human Spellshaper,,1/1,1,1,,"{1}{B}{B}, {T}, Discard a card: Creatures target player controls attack this turn if able.",,,,
Tectonic Break,,,XRR,2.0,R,Sorcery,,,,,,Each player sacrifices X lands of their choice.,,,,
Grinning Demon,,,2BB,4.0,B,Creature — Demon,,6/6,6,6,,"At the beginning of your upkeep, you lose 2 life.
Morph {2}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Zodiac Goat,,,R,1.0,R,Creature — Goat,,1/1,1,1,,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),,,,
Merfolk Looter,,,1U,2.0,U,Creature — Merfolk Rogue,,1/1,1,1,,"{T}: Draw a card, then discard a card.",,,,
Lithophage,,,3RR,5.0,R,Creature — Insect,,7/7,7,7,,"At the beginning of your upkeep, sacrifice this creature unless you sacrifice a Mountain.",,,,
Goblin King,,,1RR,3.0,R,Creature — Goblin,,2/2,2,2,,Other Goblins get +1/+1 and have mountainwalk.,,,,
Cartographer,,,2G,3.0,G,Creature — Human,,2/2,2,2,,"When this creature enters, you may return target land card from your graveyard to your hand.",,,,
Dragon Engine,,,3,3.0,N,Artifact Creature — Construct,,1/3,1,3,,{2}: This creature gets +1/+0 until end of turn.,,,,
Defiling Tears,,,2B,3.0,B,Instant,,,,,,"Until end of turn, target creature becomes black, gets +1/-1, and gains ""{B}: Regenerate this creature.""",,,,
Erratic Explosion,,,2R,3.0,R,Sorcery,,,,,,Choose any target. Reveal cards from the top of your library until you reveal a nonland card. Erratic Explosion deals damage equal to that card's mana value to that permanent or player. Put the revealed cards on the bottom of your library in any order.,,,,
Simoon,,,RG,2.0,Z,Instant,,,,,,Simoon deals 1 damage to each creature target opponent controls.,,,,
Warbreak Trumpeter,,,R,1.0,R,Creature — Goblin,,1/1,1,1,,"Morph {X}{X}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, create X 1/1 red Goblin creature tokens.",,,,
Giant Warthog,,,5G,6.0,G,Creature — Boar Beast,,5/5,5,5,,Trample,,,,
Greater Good,,,2GG,4.0,G,Enchantment,,,,,,"Sacrifice a creature: Draw cards equal to the sacrificed creature's power, then discard three cards.",,,,
Defender en-Vec,,,3W,4.0,W,Creature — Human Cleric,,2/4,2,4,,"Fading 4 (This creature enters with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from this creature: Prevent the next 2 damage that would be dealt to any target this turn.",,,,
Barbarian General,,,4R,5.0,R,Creature — Human Barbarian Soldier,,3/2,3,2,,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),,,,
Galvanic Key,,,2,2.0,N,Artifact,,,,,,"Flash
{3}, {T}: Untap target artifact.",,,,
Flowstone Flood,,,3R,4.0,R,Sorcery,,,,,,"Buyback—Pay 3 life, Discard a card at random. (You may pay 3 life and discard a card at random in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Destroy target land.",,,,
